Name,Storage_details,Screen_size,Camera_details,Battery_details,Processor,Warranty,Price in Rupees,Rating,Actual price,%Off
"Samsung Galaxy Note 8 (Maple Gold, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Quad HD+ Display,12MP + 12MP | 8MP Front Camera,3300 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase.,No data available,"59,900",No data available,No data available,No data available
"Samsung Galaxy A8 Star (White, 64 GB)",6 GB RAM | 64 GB ROM,16.0 cm (6.3 inch) Display,24MP Rear Camera,3700 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,No data available,"34,999",No data available,No data available,No data available
"Honor Holly 2 Plus (White, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,ARM Cortex-A53 MTK MT6735P Quad Core 1.3GHz Processor,No data available,"8,999",No data available,No data available,No data available
"Samsung Galaxy J5 Prime (Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2400 mAh Li-Ion Battery,Exynos 7570 Quad Core 1.4GHz Processor,No data available,"13,500",No data available,No data available,No data available
"Honor 9N (Purple, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,No data available,"12,500",No data available,No data available,No data available
"Micromax iOne (Black, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,13.84 cm (5.45 inch) Display,5MP Rear Camera | 5MP Front Camera,2200 mAh Battery,SC9863A Processor,No data available,"5,999",No data available,No data available,No data available
"Samsung Galaxy J5 Prime (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2400 mAh Li-Ion Battery,Exynos 7570 Quad Core 1.4GHz Processor,No data available,"13,500",No data available,No data available,No data available
"Samsung Galaxy J8 (Gold, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.24 cm (6 inch) HD+ Display,16MP + 5MP | 16MP Front Camera,3500 mAh Battery,Qualcomm Snapdragon SDM450 Processor,No data available,"19,500",No data available,No data available,No data available
"Samsung Galaxy A20 (Red, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP | 8MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 7884B Processor,No data available,"13,099",No data available,No data available,No data available
"Nibiru Venus J1 (White, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 32 GB,15.24 cm (6 inch) Full HD Display,13MP Rear Camera | 5MP Front Camera,3200 mAh Battery,Snapdragon Processor,No data available,"5,499",No data available,No data available,No data available
"ITEL A46 (FIERY RED, 32 GB)",2 GB RAM | 32 GB ROM,13.84 cm (5.45 inch) Full HD Display,8MP Rear Camera,2400 mAh Battery,1 Year,No data available,"5,590",No data available,No data available,No data available
"Nexus4 (E960) (White, 16 GB)",2 GB RAM | 16 GB ROM,11.94 cm (4.7 inch) HD Display,8MP Rear Camera | 1.3MP Front Camera,2100 mAh Li-Polymer Battery,Qualcomm Snapdragon S4 Pro Processor,No data available,"26,516",No data available,No data available,No data available
"Samsung Galaxy J4 (Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,Exynos 7570 Processor,No data available,"13,023",No data available,No data available,No data available
"Vivo Y90 (Gold, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,4030 mAh Li-ion Battery,MediaTek Helio A22 Processor,No data available,"7,990",No data available,No data available,No data available
"Samsung Galaxy Note 9 (Midnight Black, 512 GB)",8 GB RAM | 512 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Quad HD+ Display,12MP + 12MP | 8MP Front Camera,4000 mAh Lithium-ion Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,No data available,"84,900",No data available,No data available,No data available
"LG Q6 (Platinum, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 2 TB,13.97 cm (5.5 inch) Full HD+ Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Li-ion Battery,Qualcomm Snapdragon 435 1.4 GHz Octacore Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"9,640",4,"₹16,990",43% off
"Samsung Galaxy A30 (Red, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,16MP + 5MP | 16MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 7904 Processor,No data available,"18,000",No data available,No data available,No data available
"Samsung Galaxy J5 Prime (Black, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2400 mAh Li-Ion Battery,Exynos 7570 Quad Core 1.4GHz Processor,No data available,"14,500",No data available,No data available,No data available
"Samsung Galaxy A20 (Deep Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP | 8MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 7884B Processor,No data available,"12,900",No data available,No data available,No data available
"Samsung Galaxy J4 (Gold, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 5MP Front Camera,3000 mAh Battery,Exynos 7570 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"8,490",4.3,"₹10,769",21% off
"Samsung Galaxy J6 Plus (Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.24 cm (6 inch) HD+ Display,13MP + 5MP | 8MP Front Camera,3300 mAh Battery,Qualcomm Snapdragon SD425 Processor,No data available,"13,600",No data available,No data available,No data available
"Samsung Galaxy J6 (Gold, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.22 cm (5.6 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Exynos 7870 Processor,No data available,"16,500",No data available,No data available,No data available
"Honor Holly 4 Plus (Grey, 32 GB)",3 GB RAM | 32 GB ROM,13.97 cm (5.5 inch) HD Display,12MP Rear Camera | 8MP Front Camera,4000 mAh Battery,"12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable",No data available,"12,985",No data available,No data available,No data available
"Samsung Galaxy J2-2017 (Metallic gold, 8 GB)",1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,11.94 cm (4.7 inch) Display,5MP Rear Camera | 2MP Front Camera,2000 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,No data available,"6,000",No data available,No data available,No data available
"Redmi Note 5 Pro (Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,15.21 cm (5.99 inch) Full HD+ Display,12MP + 5MP | 20MP Front Camera,4000 mAh Li Polymer Battery,Qualcomm Snapdragon 636 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"11,501",4.5,"₹14,999",23% off
"Samsung Galaxy J2 (White, 8 GB)",1 GB RAM | 8 GB ROM | Expandable Upto 128 GB,11.94 cm (4.7 inch) quarter HD Display,5MP Rear Camera | 2MP Front Camera,2000 mAh Battery,Exynos 3475 Quad Core 1.3GHz Processor,No data available,"6,799",No data available,No data available,No data available
"Mobiistar C1 Shine (Gold, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.46 cm (5.3 inch) Display,13MP Rear Camera,3000 mAh Battery,1  Year Manufacture Warranty,No data available,"6,299",No data available,No data available,No data available
"Nokia 6 (Matte Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 8MP Front Camera,3000 mAh Battery,Qualcomm Snapdragon 430 Processor,No data available,"13,999",No data available,No data available,No data available
"Vivo V3 (Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128,12.7 cm (5 inch) HD Display,13MP Rear Camera | 8MP Front Camera,2550 mAh Li-Ion Battery,Qualcomm Snapdragon 616 Octa-core 1.5GHz Processor,No data available,"17,088",No data available,No data available,No data available
"OPPO F11 Pro Marvel’s Avengers Limited Edition (Space Blue, 128 GB)",6 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,48MP Rear Camera,4000 mAh Battery,1 Year Manufacturer Warranty,No data available,"28,990",No data available,No data available,No data available
"Karbonn Yuva 2 (Black, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,12.7 cm (5 inch) HD Display,5MP Rear Camera,2250 mAh Battery,1 Year Brand Warranty on Handset,No data available,"6,334",No data available,No data available,No data available
"Samsung Galaxy J2 Core (Black, 8 GB)",1 GB RAM | 8 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) quarter HD Display,8MP Rear Camera | 5MP Front Camera,2600 mAh Battery,Exynos 7570 Processor,No data available,"6,200",No data available,No data available,No data available
