Name,Storage_details,Screen_size,Camera_details,Battery_details,Processor,Warranty,Price in Rupees,Rating,Actual price,%Off
"Nokia 3.1 (Blue/Copper, 32 GB)",3 GB RAM | 32 GB ROM,13.21 cm (5.2 inch) Display,13MP Rear Camera,2990 mAh Battery,1 Year Warranty,No data available,"13,805",No data available,No data available,No data available
"Samsung Galaxy A8 Plus (Gold, 64 GB)",6 GB RAM | 64 GB ROM,15.24 cm (6 inch) Display,16MP Rear Camera,3500 mAh Battery,1 Year Warranty,No data available,"28,500",No data available,No data available,No data available
"Samsung Galaxy A30 (White, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,16MP + 5MP | 16MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 7904 Processor,No data available,"18,000",No data available,No data available,No data available
"Tecno Camon i 2 (AQUA BLUE, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 16MP Front Camera,3750 mAh Battery,12+1 month warranty provided by the manufacturer,No data available,"12,333",No data available,No data available,No data available
"Samsung Galaxy M30 (Gradation Blue, 128 GB)",6 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Display,13MP Rear Camera,5000 mAh Battery,12 Months,No data available,"20,000",No data available,No data available,No data available
"InFocus Snap 4 (Platinum Gold, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) HD Display,13MP + 8MP | 8MP + 8MP Dual Front Camera,3000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,No data available,"6,599",No data available,No data available,No data available
"Samsung Galaxy A20 (Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP | 8MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 7884B Processor,No data available,"12,900",No data available,No data available,No data available
"Realme 1 (Diamond Black, 128 GB)",6 GB RAM | 128 GB ROM,15.24 cm (6 inch) Display,13MP Rear Camera,3410 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,No data available,"10,999",No data available,No data available,No data available
"LG G7+ ThinQ (Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,15.49 cm (6.1 inch) Quad HD+ Display,16MP + 16MP | 8MP Front Camera,3000 mAh Li-ion Battery,Qualcomm Snapdragon 845 Processor,No data available,"54,998",No data available,No data available,No data available
"OPPO A5 (Diamond Blue, 32 GB)",4 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Li-ion Battery,Qualcomm Snapdragon 450 Processor,No data available,"14,990",No data available,No data available,No data available
